trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.44199999999999984, 'e': 0.20597509820488344}",25,2,-8.479045435691944,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
159,False,"{'a': 0.44099999999999984, 'e': 0.20392561173421342}",25,2,2.038991453340336,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.43999999999999984, 'e': 0.20189651799465538}",20,1,-9.439472942540604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.43899999999999983, 'e': 0.1998876140751445}",20,14,2.4764158599778696,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.43799999999999983, 'e': 0.19789869908361465}",25,0,0.1351527129388168,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.43699999999999983, 'e': 0.19592957412690934}",20,12,12.825275540203496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.43599999999999983, 'e': 0.19398004229089189}",25,15,-23.786752676184,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.43499999999999983, 'e': 0.19204990862075408}",30,13,-26.548592202344594,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.43399999999999983, 'e': 0.1901389801015205}",20,13,4.228868046039206,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.43299999999999983, 'e': 0.1882470656387468}",20,5,-5.875183127297939,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.43199999999999983, 'e': 0.18637397603940997}",25,15,18.004806718662785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4309999999999998, 'e': 0.18451952399298926}",20,1,5.591823196831763,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.4299999999999998, 'e': 0.18268352405273466}",20,14,13.981447561436388,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4289999999999998, 'e': 0.1808657926171221}",25,8,9.909945283037107,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.4279999999999998, 'e': 0.17906614791149322}",25,2,2.013367092985007,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
